Title,Year,Rating
The Shawshank Redemption,1994,9.3
The Godfather,2008,9.2
The Dark Knight,2003,9.0
The Godfather Part II,1993,9.0
12 Angry Men,1994,9.0
The Lord of the Rings: The Return of the King,2001,9.0
Schindler's List,1994,9.0
Pulp Fiction,2002,8.9
The Lord of the Rings: The Fellowship of the Ring,1999,8.9
"The Good, the Bad and the Ugly",2010,8.8
Forrest Gump,1999,8.8
The Lord of the Rings: The Two Towers,1990,8.8
Fight Club,2014,8.8
Inception,1995,8.8
Star Wars: Episode V - The Empire Strikes Back,1991,8.7
The Matrix,1998,8.7
Goodfellas,2002,8.7
